SEX,AGES,ADMISSION MODE,CGPA - 1,CGPA-2,CLUB / DEPARTMENT,BOARD STUDIED,DAYS SINCE LAST SHOWER,TREATS GIVEN,HAS A S/O ?,ATTENDS LECTURES,CHARACTER,PIZZERIA EXPENDITURE (annual),GRAMS / MONTH,GPL
male,19,BITSAT,8.85,7.0,No club,CBSE,12,4,YES,NO,LITE,20495,5.0,NO
female,21,DASA,7.01,9.0,No club,ICSE,1,1,YES,NO,GHOT,2361,0.2,YES
female,20,BITSAT,3.0,8.0,No club,CBSE,5,4,YES,NO,GHOT,8548,0.3,YES
male,21,BITSAT,5.65,9.0,No club,CBSE,7,3,YES,NO,LITE,13767,8.5,NO
male,17,BITSAT,3.51,10.0,No club,Other,0,2,NO,NO,LITE,13494,0.6,NO
male,23,DASA,5.52,9.0,No club,CBSE,2,0,NO,NO,LITE,17676,4.5,NO
male,17,BITSAT,4.06,5.0,Mountaineering,CBSE,3,0,YES,YES,LITE,16452,10.8,NO
female,20,BITSAT,6.91,4.0,No club,CBSE,1,0,NO,YES,LITE,1848,0.4,YES
female,19,BOARD TOPPER,5.37,9.0,No club,ICSE,6,3,NO,NO,GHOT,4106,0.45,YES
female,17,BITSAT,4.08,6.0,No club,CBSE,7,3,YES,YES,GHOT,6931,0.4,YES
male,19,BITSAT,3.78,7.0,No club,CBSE,2,4,NO,NO,LITE,21981,6.9,NO
male,21,BITSAT,10.0,7.0,No club,CBSE,1,0,NO,YES,LITE,18402,10.9,NO
female,19,BITSAT,3.0,10.0,No club,CBSE,4,0,NO,NO,LITE,15660,2.8,NO
female,23,BOARD TOPPER,7.53,6.0,No club,CBSE,5,0,NO,NO,GHOT,3890,0.15,YES
male,17,BITSAT,3.65,8.0,Gaming Club,Other,5,3,NO,YES,LITE,15923,5.5,NO
male,17,BOARD TOPPER,8.43,9.0,No club,CBSE,3,2,YES,NO,GHOT,2681,0.4,YES
female,20,BITSAT,7.15,9.0,No club,CBSE,3,4,YES,NO,LITE,14604,2.5,NO
female,17,BITSAT,3.73,9.0,No club,ICSE,5,1,YES,NO,GHOT,5031,0.15,YES
male,21,BOARD TOPPER,7.87,9.0,SUTT,CBSE,0,3,YES,NO,LITE,16159,6.9,NO
male,21,BOARD TOPPER,4.57,8.0,No club,CBSE,2,3,NO,NO,GHOT,7321,0.45,YES
female,19,BITSAT,9.49,10.0,No club,Other,11,4,YES,NO,LITE,5492,0.25,YES
male,20,DASA,4.99,8.0,No club,CBSE,6,4,YES,NO,GHOT,7002,0.3,YES
female,18,BITSAT,6.65,8.0,Mountaineering,CBSE,6,3,NO,YES,LITE,14093,1.0,NO
female,21,BITSAT,4.85,9.0,No club,CBSE,3,2,NO,YES,GHOT,4057,0.5,YES
male,17,BITSAT,6.34,10.0,No club,ICSE,6,4,YES,NO,LITE,14828,4.9,NO
male,19,DASA,5.35,9.0,Mountaineering,CBSE,0,0,NO,YES,LITE,18042,8.8,NO
female,17,BITSAT,8.61,3.0,No club,Other,8,0,YES,NO,GHOT,4734,0.2,YES
male,17,BITSAT,8.14,3.0,No club,CBSE,2,3,NO,NO,LITE,17735,4.5,NO
female,17,DASA,8.08,4.0,No club,ICSE,1,0,YES,NO,GHOT,4339,0.2,YES
female,17,BITSAT,4.72,9.0,No club,Other,11,4,YES,NO,LITE,7393,0.5,YES
male,24,BOARD TOPPER,5.79,6.0,No club,CBSE,14,4,NO,NO,LITE,15827,6.8,NO
male,20,DASA,9.65,4.0,No club,ICSE,10,1,YES,NO,GHOT,13372,2.5,NO
male,22,DASA,6.12,6.0,No club,CBSE,4,1,YES,NO,LITE,20196,1.8,NO
male,17,BITSAT,3.05,5.0,No club,ICSE,0,1,NO,NO,GHOT,1036,0.35,YES
male,19,BITSAT,7.97,4.0,No club,CBSE,1,3,YES,NO,LITE,15668,9.4,NO
female,19,BITSAT,6.13,6.0,DVM,CBSE,10,2,NO,NO,LITE,14205,1.4,NO
female,19,BITSAT,6.01,6.0,No club,ICSE,0,1,NO,NO,LITE,5980,0.35,YES
female,22,BITSAT,9.1,7.0,No club,CBSE,14,4,YES,NO,LITE,19831,4.0,NO
female,20,BOARD TOPPER,6.29,6.0,No club,CBSE,3,1,NO,NO,LITE,16568,7.5,NO
male,17,BITSAT,8.42,9.0,No club,ICSE,6,3,NO,NO,LITE,11740,5.4,NO
female,17,BOARD TOPPER,6.77,8.0,No club,ICSE,2,3,NO,YES,GHOT,7971,0.4,YES
female,19,BITSAT,5.35,3.0,No club,Other,3,3,NO,NO,GHOT,4243,0.45,YES
male,17,BITSAT,5.73,6.0,No club,CBSE,0,3,YES,NO,GHOT,11625,7.7,NO
male,17,BITSAT,5.68,3.0,No club,Other,0,4,NO,NO,LITE,21835,9.8,NO
female,17,BITSAT,4.27,6.0,No club,Other,13,0,YES,NO,GHOT,2061,0.4,YES
female,19,BITSAT,6.59,3.0,No club,CBSE,9,1,NO,NO,LITE,19923,9.5,NO
male,18,BITSAT,7.34,10.0,Gaming Club,CBSE,14,3,YES,YES,LITE,13440,2.7,NO
